Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J2, J3, J4, J5",PogoRecptacle_D1.4mm_OD2.0mm,5,Conn_01x01,
J8,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
